,Name,Risk,Category,Rating,1 Year Return,3 Years Return,5 Years Return
781,HDFC Arbitrage Fund Wholesale Direct Growth,Low Risk,Hybrid,2,4.20%,4.26%,5.08%
782,Nippon India Credit Risk Fund Direct Growth,High Risk,Debt,2,4.53%,4.22%,4.35%
783,LIC MF Arbitrage Fund Direct Growth,Low Risk,Hybrid,2,4.53%,4.22%,NA%
784,Canara Robeco Ultra Short Term Fund Direct Growth,Low to Moderate Risk,Debt,2,4.22%,4.22%,5.31%
785,Mahindra Manulife Liquid Fund Direct Growth,Low to Moderate Risk,Debt,5,4.73%,4.22%,5.42%
786,Edelweiss Liquid Direct Growth,Low to Moderate Risk,Debt,4,4.64%,4.21%,5.41%
787,Taurus Short Term Income Fund Direct Growth,Moderately Low Risk,Debt,1,9.35%,4.21%,6.49%
788,Aditya Birla Sun Life Liquid Fund Direct Growth,Moderate Risk,Debt,4,4.68%,4.19%,5.39%
789,Franklin India Liquid Fund Direct Growth,Low to Moderate Risk,Debt,3,4.66%,4.19%,5.42%
790,Union Liquid Fund Direct Growth,Moderate Risk,Debt,3,4.67%,4.19%,4.57%
791,LIC MF Liquid Fund Direct Growth,Low to Moderate Risk,Debt,3,4.62%,4.18%,5.35%
792,PGIM India Liquid Fund Direct Plan Growth,Low to Moderate Risk,Debt,4,4.65%,4.18%,5.38%
793,Baroda BNP Paribas Liquid Direct Fund Growth,Low to Moderate Risk,Debt,5,4.73%,4.17%,5.38%
794,Nippon India Liquid Fund Direct Growth,Moderate Risk,Debt,3,4.66%,4.17%,5.38%
795,Mahindra Manulife Dynamic Bond Yojana Direct Growth,Moderate Risk,Debt,3,1.76%,4.17%,NA%
796,Tata Liquid Fund Direct Growth,Low to Moderate Risk,Debt,3,4.63%,4.17%,5.35%
797,Axis Liquid Direct Fund Growth,Low to Moderate Risk,Debt,3,4.68%,4.17%,5.36%
798,Mirae Asset Cash Management Fund Direct Growth,Low to Moderate Risk,Debt,4,4.67%,4.16%,5.33%
799,ICICI Prudential Liquid Fund Direct Plan Growth,Low to Moderate Risk,Debt,2,4.59%,4.15%,5.33%
800,Sundaram Liquid Direct Growth,Moderate Risk,Debt,4,4.70%,4.15%,5.14%
801,UTI Liquid Cash Direct Growth,Moderate Risk,Debt,4,4.67%,4.14%,5.34%
802,DSP Liquidity Direct Growth,Low to Moderate Risk,Debt,3,4.66%,4.12%,5.31%
803,Bank of India Liquid Fund Direct Growth,Moderate Risk,Debt,4,4.73%,4.12%,5.30%
804,SBI Liquid Fund Direct Plan Growth,Moderate Risk,Debt,3,4.60%,4.11%,5.28%
805,HSBC Liquid Fund Direct Growth,Low to Moderate Risk,Debt,3,4.67%,4.09%,5.31%
806,L&T Liquid Plan Direct Growth,Low to Moderate Risk,Debt,2,4.55%,4.09%,5.28%
807,LIC MF Ultra Short Term Fund Direct Growth,Moderately Low Risk,Debt,1,4.20%,4.09%,NA%
808,PGIM India Credit Risk Fund Direct Growth,Low to Moderate Risk,Debt,2,9.60%,4.08%,5.31%
809,HDFC Liquid Direct Plan Growth,Low to Moderate Risk,Debt,2,4.61%,4.08%,5.25%
810,Invesco India Liquid Fund Direct Growth,Low to Moderate Risk,Debt,3,4.63%,4.08%,5.27%
811,Kotak Liquid Direct Growth,Low to Moderate Risk,Debt,3,4.61%,4.08%,5.26%
812,JM Liquid Fund Direct Growth,Low to Moderate Risk,Debt,4,4.67%,4.07%,5.30%
813,HSBC Low Duration Fund(Ex) Direct Growth,Low to Moderate Risk,Debt,1,4.02%,4.06%,3.51%
814,Navi Liquid Fund Super Institutional Plan Direct Growth,Low to Moderate Risk,Debt,5,4.92%,4.04%,5.22%
815,IDFC Cash Direct Plan Growth,Low to Moderate Risk,Debt,2,4.64%,4.04%,5.20%
816,Navi Ultra Short Term Fund Super Institutional Plan Direct Growth,Low to Moderate Risk,Debt,1,3.00%,3.97%,5.28%
817,Indiabulls Liquid Direct Fund Growth,Low to Moderate Risk,Debt,1,4.42%,3.92%,5.18%
818,Canara Robeco Liquid Direct Plan Growth,Low to Moderate Risk,Debt,2,4.62%,3.90%,5.11%
819,Sundaram Medium Term Bond Fund Direct Growth,Moderate Risk,Debt,2,1.52%,3.89%,5.24%
820,Baroda BNP Paribas Money Market Fund Direct Growth,Low Risk,Debt,1,4.12%,3.89%,NA%
821,Mirae Asset Overnight Fund Direct Growth,Low Risk,Debt,5,4.52%,3.81%,NA%
822,Parag Parikh Liquid Fund Direct Growth,Low to Moderate Risk,Debt,2,4.40%,3.81%,NA%
823,Quantum Liquid Fund Direct Growth,Low Risk,Debt,2,4.44%,3.80%,4.83%
824,PGIM India Overnight Fund Direct Growth,Low Risk,Debt,4,4.49%,3.80%,NA%
825,DSP Overnight Fund Direct Growth,Low Risk,Debt,3,4.49%,3.78%,NA%
826,HSBC Overnight Fund Direct Growth,Low Risk,Debt,5,4.52%,3.77%,NA%
827,Edelweiss Overnight Fund Direct Growth,Low Risk,Debt,2,4.40%,3.76%,NA%
828,Axis Overnight Fund Direct Growth,Low Risk,Debt,4,4.51%,3.75%,NA%
829,Nippon India Overnight Fund Direct Growth,Low Risk,Debt,4,4.51%,3.75%,NA%
830,Mahindra Manulife Overnight Fund Direct Growth,Low Risk,Debt,4,4.50%,3.74%,NA%
831,LIC MF Overnight Fund Direct Growth,Low Risk,Debt,4,4.51%,3.74%,NA%
832,Baroda BNP Paribas Overnight Fund Direct Growth,Low Risk,Debt,4,4.48%,3.74%,NA%
833,Aditya Birla Sun Life Overnight Fund Direct Growth,Low Risk,Debt,4,4.49%,3.73%,NA%
834,Tata Overnight Fund Direct Growth,Low Risk,Debt,3,4.48%,3.73%,NA%
835,Canara Robeco Overnight Fund Direct Growth,Low Risk,Debt,2,4.46%,3.73%,NA%
836,UTI Overnight Fund Direct Growth,Low Risk,Debt,3,4.48%,3.73%,4.52%
837,L&T Overnight Fund Direct Growth,Low Risk,Debt,3,4.41%,3.72%,4.66%
838,WhiteOak Capital Liquid Fund Direct Growth,Low to Moderate Risk,Debt,1,4.29%,3.71%,NA%
839,IIFL Liquid Fund Direct Growth,Low to Moderate Risk,Debt,1,4.51%,3.71%,4.81%
840,IIFL Liquid Fund Direct Growth,Low to Moderate Risk,Debt,1,4.51%,3.71%,4.81%
841,Nippon India Equity Savings Fund Direct Growth,Moderate Risk,Hybrid,1,4.78%,3.71%,1.42%
842,Kotak Overnight Fund Direct Growth,Low Risk,Debt,3,4.49%,3.71%,NA%
843,Sundaram Overnight Fund Direct Growth,Low Risk,Debt,2,4.45%,3.71%,NA%
844,ICICI Prudential Overnight Fund Direct Growth,Low Risk,Debt,3,4.46%,3.70%,NA%
845,SBI Overnight Fund Direct Growth,Low Risk,Debt,3,4.45%,3.70%,4.62%
846,Principal Retirement Savings Fund Conservative Plan Direct Growth,Moderately High Risk,Solution Oriented,,6.05%,3.70%,6.09%
847,Union Overnight Fund Direct Growth,Low Risk,Debt,3,4.48%,3.70%,NA%
848,ITI Liquid Fund Direct Growth,Low Risk,Debt,2,4.53%,3.69%,NA%
849,Motilal Oswal Liquid Fund Direct Growth,Low to Moderate Risk,Debt,1,4.34%,3.68%,NA%
850,HDFC Overnight Fund Direct Plan Growth,Low Risk,Debt,2,4.44%,3.68%,4.59%
851,JM Short Term Plan Direct Growth,Moderate Risk,Debt,2,4.45%,3.67%,5.61%
852,ITI Overnight Fund Direct Growth,Low Risk,Debt,1,4.39%,3.65%,NA%
853,Franklin India Overnight Fund Direct Growth,Low Risk,Debt,2,4.43%,3.64%,NA%
854,Indiabulls Overnight Fund Direct Growth,Low Risk,Debt,1,4.35%,3.63%,NA%
855,WhiteOak Capital Overnight Fund Direct Growth,Low Risk,Debt,1,4.38%,3.61%,NA%
856,Taurus Dynamic Income Fund Direct Growth,Moderate Risk,Debt,1,9.64%,3.53%,4.36%
857,Principal Dynamic Bond Fund Direct Growth,Moderate Risk,Debt,2,7.81%,3.47%,6.16%
858,JM Arbitrage Fund Direct Growth,Low Risk,Hybrid,1,4.09%,3.43%,4.36%
859,UTI Medium Term Fund Direct Growth,Moderate Risk,Debt,2,2.91%,3.42%,4.67%
860,ITI Arbitrage Fund Direct Growth,Moderately Low Risk,Hybrid,1,2.90%,3.36%,NA%
861,ICICI Prudential Global Advantage Fund (FOF) Direct Growth,High Risk,Other,,-11.03%,3.33%,NA%
862,Indiabulls Arbitrage Fund Direct Growth,Low Risk,Hybrid,2,2.90%,3.30%,4.53%
863,Bank of India Arbitrage Fund Direct Growth,Low Risk,Hybrid,1,2.95%,3.26%,NA%
864,Baroda Dynamic Bond Direct Growth,Moderate Risk,Debt,1,4.29%,3.17%,4.61%
865,UTI Focussed Equity Fund Series I (2195 Days) Direct Growth,Moderately High Risk,Equity,,14.03%,2.93%,8.87%
866,Nippon India Hybrid Bond Fund Direct Growth,High Risk,Hybrid,1,5.83%,2.61%,3.16%
867,Nippon India Japan Equity Fund Direct Growth,Very High Risk,Equity,,-14.54%,1.48%,4.88%
868,Edelweiss Emerging Markets Opportunities Equity Offshore Fund Direct Growth,Very High Risk,Other,,-18.10%,1.42%,3.31%
869,Franklin India Life Stage FoF The 50s Plus Direct Plan Growth,Moderate Risk,Other,1,5.44%,1.34%,3.09%
870,Edelweiss Corporate Bond Fund Direct Growth,Low to Moderate Risk,Debt,1,-0.73%,0.85%,3.32%
871,Aditya Birla Sun Life Global Excellence Equity FoF Retail Direct Growth,Very High Risk,Other,,-13.22%,0.71%,4.48%
872,Franklin India Feeder Templeton European Opportunities Fund Direct Growth,Very High Risk,Other,,4.64%,-0.44%,1.28%
873,UTI Credit Risk Fund Direct Growth,Moderately High Risk,Debt,1,4.58%,-2.29%,-0.94%
874,Nippon India Strategic Debt Fund Direct Growth,Very High Risk,Debt,2,2.58%,-2.30%,-0.87%
875,PGIM India Emerging Markets Equity Fund Direct Growth,Very High Risk,Other,,-33.80%,-5.09%,-1.57%
876,HSBC Brazil Direct Plan Growth,Very High Risk,Other,,17.57%,-8.71%,-1.14%
877,Baroda Treasury Advantage Direct Fund Growth,Low to Moderate Risk,Debt,1,3.96%,-9.24%,-2.95%
878,Mirae Asset NYSE FANG+ ETF FoF Direct Growth,Very High Risk,Other,,-36.06%,NA%,NA%
879,Mirae Asset S&P 500 Top 50 ETF FoF Direct Growth,Very High Risk,Other,,-10.99%,NA%,NA%
880,Axis Global Innovation FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
881,Axis Global Equity Alpha FoF Direct Growth,Very High Risk,Other,,17.19%,NA%,NA%
882,Sundaram Equity Fund Direct Growth,Very High Risk,Equity,,41.42%,NA%,NA%
883,Principal Midcap Fund Direct Growth,Moderately High Risk,Equity,,49.10%,NA%,NA%
884,SBI Fixed Maturity Plan Series 58 (1842 Days) Direct Growth,Moderate Risk,Debt,,NA%,NA%,NA%
885,Kotak Nifty SDL Plus AAA PSU Bond Jul 2033 60:40 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
886,Tata Focused Equity Fund Direct Growth,Very High Risk,Equity,,10.19%,NA%,NA%
887,Aditya Birla Sun Life PSU Equity Fund Direct Growth,Very High Risk,Equity,,28.05%,NA%,NA%
888,BHARAT Bond FOF April 2023 Direct Growth,Low Risk,Other,3,4.15%,NA%,NA%
889,Tata Multi Asset Opportunities Fund Direct Growth,Very High Risk,Hybrid,,10.23%,NA%,NA%
890,IDFC Emerging Businesses Fund Direct Growth,Very High Risk,Equity,,1.31%,NA%,NA%
891,Union Midcap Fund Direct Growth,Very High Risk,Equity,,6.85%,NA%,NA%
892,ITI Small Cap Fund Direct Growth,Very High Risk,Equity,,0.42%,NA%,NA%
893,Union Large & Midcap Fund Direct Growth,Moderately High Risk,Equity,,3.33%,NA%,NA%
894,Mirae Asset Banking and PSU Debt Fund Direct Growth,Low to Moderate Risk,Debt,3,2.96%,NA%,NA%
895,Mirae Asset Equity Allocator FoF Direct Growth,Very High Risk,Other,,7.59%,NA%,NA%
896,Union Hybrid Equity Fund Direct Growth,Very High Risk,Hybrid,,3.73%,NA%,NA%
897,Baroda BNP Paribas Banking & PSU Bond Fund Direct Growth,Low to Moderate Risk,Debt,2,1.85%,NA%,NA%
898,Mirae Asset Nifty 100 ESG Sector Leaders FoF Direct Growth,Very High Risk,Other,,4.26%,NA%,NA%
899,Nippon India Passive Flexicap FoF Direct Growth,Very High Risk,Other,,7.37%,NA%,NA%
900,Aditya Birla Sun Life ESG Fund Direct Growth,Very High Risk,Equity,,-6.44%,NA%,NA%
901,Mirae Asset Banking and Financial Services Fund Direct Growth,Very High Risk,Equity,,11.94%,NA%,NA%
902,TRUSTMF Banking & PSU Debt Fund Direct Growth,Moderate Risk,Debt,2,2.23%,NA%,NA%
903,IDFC Floating Rate Fund Direct Growth,Low to Moderate Risk,Debt,3,4.01%,NA%,NA%
904,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund Direct Growth,Low to Moderate Risk,Other,,2.05%,NA%,NA%
905,IDFC CRISIL Gilt 2028 Index Fund Direct Growth,Moderate Risk,Other,,1.92%,NA%,NA%
906,Canara Robeco Focused Equity Fund Direct Growth,Very High Risk,Equity,,8.28%,NA%,NA%
907,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Direct Growth,Very High Risk,Other,,11.06%,NA%,NA%
908,Union Large & Midcap Fund Direct Growth,Moderately High Risk,Equity,,3.33%,NA%,NA%
909,Mirae Asset Banking and PSU Debt Fund Direct Growth,Low to Moderate Risk,Debt,3,2.96%,NA%,NA%
910,Mirae Asset Equity Allocator FoF Direct Growth,Very High Risk,Other,,7.59%,NA%,NA%
911,Union Hybrid Equity Fund Direct Growth,Very High Risk,Hybrid,,3.73%,NA%,NA%
912,Baroda BNP Paribas Banking & PSU Bond Fund Direct Growth,Low to Moderate Risk,Debt,2,1.85%,NA%,NA%
913,Mirae Asset Nifty 100 ESG Sector Leaders FoF Direct Growth,Very High Risk,Other,,4.26%,NA%,NA%
914,Nippon India Passive Flexicap FoF Direct Growth,Very High Risk,Other,,7.37%,NA%,NA%
915,Nippon India Nifty Smallcap 250 Index Fund Direct Growth,Very High Risk,Other,,3.22%,NA%,NA%
916,DSP Value Fund Direct Growth,Very High Risk,Equity,,5.24%,NA%,NA%
917,ICICI Prudential Quant Fund Direct Growth,Very High Risk,Equity,,5.20%,NA%,NA%
918,Aditya Birla Sun Life ESG Fund Direct Growth,Very High Risk,Equity,,-6.44%,NA%,NA%
919,Mirae Asset Banking and Financial Services Fund Direct Growth,Very High Risk,Equity,,11.94%,NA%,NA%
920,TRUSTMF Banking & PSU Debt Fund Direct Growth,Moderate Risk,Debt,2,2.23%,NA%,NA%
921,IDFC Floating Rate Fund Direct Growth,Low to Moderate Risk,Debt,3,4.01%,NA%,NA%
922,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund Direct Growth,Low to Moderate Risk,Other,,2.05%,NA%,NA%
923,IDFC CRISIL Gilt 2028 Index Fund Direct Growth,Moderate Risk,Other,,1.92%,NA%,NA%
924,Canara Robeco Focused Equity Fund Direct Growth,Very High Risk,Equity,,8.28%,NA%,NA%
925,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Direct Growth,Very High Risk,Other,,11.06%,NA%,NA%
926,Invesco India Medium Duration Fund Direct Growth,Moderate Risk,Debt,,2.53%,NA%,NA%
927,PGIM India Small Cap Fund Direct Growth,Very High Risk,Equity,,6.22%,NA%,NA%
928,Nippon India Flexi Cap Fund Direct Growth,Very High Risk,Equity,,6.23%,NA%,NA%
929,Mahindra Manulife Flexi Cap Yojana Direct Growth,Very High Risk,Equity,,8.95%,NA%,NA%
930,Mirae Asset Money Market Fund Direct Growth,Low to Moderate Risk,Debt,,4.54%,NA%,NA%
931,Baroda BNP Paribas Business Cycle Fund Direct Growth,Very High Risk,Equity,,9.07%,NA%,NA%
932,HDFC Developed World Indexes FoF Direct Growth,Very High Risk,Other,,-5.30%,NA%,NA%
933,Edelweiss Nifty 50 Index Fund Direct Growth,Very High Risk,Other,,8.38%,NA%,NA%
934,ICICI Prudential Nifty Smallcap 250 Index Fund Direct Growth,Very High Risk,Other,,3.50%,NA%,NA%
935,HDFC NIFTY Next 50 Index Fund Direct Growth,Very High Risk,Other,,4.09%,NA%,NA%
936,Quant Value Fund Direct Growth,Very High Risk,Equity,,18.16%,NA%,NA%
937,ICICI Prudential Passive Multi Asset FoF Direct Growth,High Risk,Other,,NA%,NA%,NA%
938,Navi Nifty Next 50 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
939,Aditya Birla Sun Life Silver ETF FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
940,Nippon India Silver ETF FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
941,Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
942,ICICI Prudential Strategic Metal and Energy Equity FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
943,Mirae Asset Nifty India Manufacturing ETF FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
944,TRUSTMF Overnight Fund Direct Growth,Low Risk,Debt,,NA%,NA%,NA%
945,Motilal Oswal Nifty 200 Momentum 30 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
946,Invesco India Invesco EQQQ NASDAQ 100 ETF FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
947,Quantum Nifty 50 ETF FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
948,Motilal Oswal S&P BSE Financials ex Bank 30 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
949,DSP Nifty Midcap 150 Quality 50 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
950,Quant Large Cap Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
951,Mirae Asset Balanced Advantage Fund Direct Growth,Very High Risk,Hybrid,,NA%,NA%,NA%
952,Canara Robeco Banking and PSU Debt Fund Direct Growth,Moderate Risk,Debt,,NA%,NA%,NA%
953,Motilal Oswal S&P BSE Quality Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
954,TRUSTMF Money Market Fund Direct Growth,Low to Moderate Risk,Debt,,NA%,NA%,NA%
955,Franklin India Balanced Advantage Fund Direct Growth,Very High Risk,Hybrid,,NA%,NA%,NA%
956,Axis Silver FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
957,IDFC Nifty100 Low Volatility 30 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
958,Tata CRISIL IBX Gilt Index April 2026 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
959,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
960,Aditya Birla Sun Life CRISIL IBX Gilt April 2026 Index Fund Direct Growth,Low to Moderate Risk,Other,,NA%,NA%,NA%
961,Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
962,Tata Nifty Midcap 150 Momentum 50 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
963,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
964,UTI Gold ETF FoF Direct Growth,High Risk,Other,,NA%,NA%,NA%
965,IDFC Crisil IBX Gilt April 2026 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
966,Nippon India Nifty SDL Plus G Sec Jun 2028 Maturity 70:30 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
967,Tata Floating Rate Fund Direct Growth,Low to Moderate Risk,Debt,,4.87%,NA%,NA%
968,Kotak Global Innovation FoF Direct Growth,Very High Risk,Other,,-24.25%,NA%,NA%
969,SBI Balanced Advantage Fund Direct Growth,Moderately High Risk,Hybrid,,8.13%,NA%,NA%
970,ICICI Prudential Nifty Alpha Low Volatility 30 ETF FOF Direct Growth,Very High Risk,Other,,3.89%,NA%,NA%
971,ICICI Prudential Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund Direct Growth,Moderate Risk,Other,,1.89%,NA%,NA%
972,ICICI Prudential S&P BSE 500 ETF FOF Direct Growth,Very High Risk,Other,,7.83%,NA%,NA%
973,Motilal Oswal MSCI EAFE Top 100 Select Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
974,Axis Nifty Next 50 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
975,DSP Global Innovation FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
976,Kotak Manufacture in India Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
977,ITI Conservative Hybrid Fund Direct Growth,Moderate Risk,Hybrid,,NA%,NA%,NA%
978,Navi Nifty Midcap 150 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
979,Motilal Oswal S&P BSE Low Volatility Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
980,Axis Nifty Midcap 50 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
981,UTI Nifty Midcap 150 Quality 50 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
982,UTI Gilt Fund with 10 year Constant Duration Direct Growth,Moderate Risk,Debt,,NA%,NA%,NA%
983,Union Gilt Fund Direct Growth,Moderate Risk,Debt,,NA%,NA%,NA%
984,IDFC Midcap Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
985,Nippon India Nifty Alpha Low Volatility 30 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
986,Navi Nifty India Manufacturing Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
987,IDFC Nifty200 Momentum 30 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
988,ICICI Prudential PSU Equity Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
989,SBI Nifty Smallcap 250 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
990,Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
991,Mirae Asset Nifty AAA PSU Bond Plus SDL Apr 2026 50:50 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
992,Kotak All Weather Debt FOF Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
993,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
994,Axis Nifty SDL September 2026 Debt Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
995,IDFC CRISIL IBX 90:10 SDL Plus Gilt September 2027 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
996,HSBC Nifty 50 Index Fund Direct Growth,Very High Risk,Other,,8.57%,NA%,NA%
997,HSBC Nifty Next 50 Index Fund Direct Growth,Very High Risk,Other,,3.97%,NA%,NA%
998,Edelweiss Nifty Next 50 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
999,Nippon India Nifty G Sec Sep 2027 Maturity Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1000,HSBC Mid Cap Fund Direct Growth,Very High Risk,Equity,,-3.03%,NA%,NA%
1001,SBI International Access US Equity FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1002,Principal Small Cap Fund Direct Growth,Moderately High Risk,Equity,3,78.29%,NA%,NA%
1003,SBI Fixed Maturity Plan Series 5 (92 Days) Direct Growth,Moderately Low Risk,Debt,,NA%,NA%,NA%
1004,Axis Retirement Savings Fund Conservative Plan Direct Growth,Moderately High Risk,Solution Oriented,,0.15%,NA%,NA%
1005,Motilal Oswal Nifty Next 50 Index Fund Direct Growth,Very High Risk,Other,,4.31%,NA%,NA%
1006,BHARAT Bond FOF April 2030 Direct Growth,Moderate Risk,Other,,3.74%,NA%,NA%
1007,Mahindra Manulife Top 250 Nivesh Yojana Direct Growth,Moderately High Risk,Equity,2,7.96%,NA%,NA%
1008,Axis Retirement Savings Fund Dynamic Plan Direct Growth,Moderately High Risk,Solution Oriented,,-2.39%,NA%,NA%
1009,JM Overnight Fund Direct Growth,Low Risk,Debt,3,4.46%,NA%,NA%
1010,Motilal Oswal Nifty 50 Index Fund Direct Growth,Very High Risk,Other,,8.62%,NA%,NA%
1011,Axis ESG Equity Fund Direct Growth,Very High Risk,Equity,,-8.14%,NA%,NA%
1012,Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund Direct Growth,Very High Risk,Other,,1.55%,NA%,NA%
1013,UTI Small Cap Fund Direct Growth,Very High Risk,Equity,,8.60%,NA%,NA%
1014,Kotak Nasdaq 100 FOF Direct Growth,Very High Risk,Other,,-18.50%,NA%,NA%
1015,SBI Retirement Benefit Fund Aggressive Plan Direct Growth,Very High Risk,Solution Oriented,,12.43%,NA%,NA%
1016,Motilal Oswal Asset Allocation Passive FoF Aggressive Direct Growth,Very High Risk,Other,,5.30%,NA%,NA%
1017,Mirae Asset Corporate Bond Fund Direct Growth,Moderate Risk,Debt,3,3.07%,NA%,NA%
1018,Quant Quantamental Fund Direct Growth,Very High Risk,Equity,,26.44%,NA%,NA%
1019,Motilal Oswal Multi Asset Fund Direct Growth,High Risk,Hybrid,,2.62%,NA%,NA%
1020,Quant Quantamental Fund Direct Growth,Very High Risk,Equity,,26.44%,NA%,NA%
1021,Motilal Oswal Multi Asset Fund Direct Growth,High Risk,Hybrid,,2.62%,NA%,NA%
1022,PGIM India Money Market Fund Direct Growth,Low to Moderate Risk,Debt,3,4.73%,NA%,NA%
1023,Aditya Birla Sun Life Special Opportunities Fund Direct Growth,Very High Risk,Equity,,3.48%,NA%,NA%
1024,Mahindra Manulife Focused Equity Yojana Direct Growth,Very High Risk,Equity,4,14.59%,NA%,NA%
1025,Axis Special Situations Fund Direct Growth,Very High Risk,Equity,,-8.30%,NA%,NA%
1026,Kotak International REIT FOF Direct Growth,Very High Risk,Other,,-7.52%,NA%,NA%
1027,Nippon India Nifty 50 Value 20 Index Fund Direct Growth,Very High Risk,Other,,8.60%,NA%,NA%
1028,UTI Nifty200 Momentum 30 Index Fund Direct Growth,Very High Risk,Other,,-0.61%,NA%,NA%
1029,DSP Floater Fund Direct Growth,Low to Moderate Risk,Debt,1,2.75%,NA%,NA%
1030,HSBC Global Equity Climate Change FoF Direct Growth,Very High Risk,Other,,-16.19%,NA%,NA%
1031,IDFC CRISIL Gilt 2027 Index Fund Direct Growth,Moderate Risk,Other,,1.91%,NA%,NA%
1032,ICICI Prudential Nifty 100 Low Volatility 30 ETF FOF Direct Growth,Very High Risk,Other,,6.27%,NA%,NA%
1033,ITI Ultra Short Duration Fund Direct Growth,Low to Moderate Risk,Debt,2,4.41%,NA%,NA%
1034,Bank of India Bluechip Fund Direct Growth,Very High Risk,Equity,,1.17%,NA%,NA%
1035,IDFC US Equity FoF Direct Growth,Very High Risk,Other,,-12.66%,NA%,NA%
1036,HDFC NIFTY50 Equal Weight Index Fund Direct Growth,Very High Risk,Other,,11.29%,NA%,NA%
1037,Canara Robeco Value Fund Direct Growth,Very High Risk,Equity,,18.28%,NA%,NA%
1038,Mahindra Manulife Asia Pacific REITs FoF Direct Growth,Very High Risk,Other,2,-9.78%,NA%,NA%
1039,Aditya Birla Sun Life NASDAQ 100 FOF Direct Growth,Very High Risk,Other,,-20.88%,NA%,NA%
1040,Aditya Birla Sun Life Business Cycle Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1041,Axis Multicap Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
